Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable,Manu_Country
Toyota,Camry,2020,Saudi,Brown,Semi Full,2.5,Gas,Automatic,38000,Riyadh,1364,False,Japan
Toyota,FJ,2012,Saudi,Black,Full,4.0,Gas,Automatic,35000,Riyadh,70000,False,Japan
Chevrolet,Suburban,2009,Saudi,White,Standard,5.3,Gas,Automatic,255,Riyadh,36000,False,America
Ford,Explorer,2016,Other,White,Full,3.5,Gas,Automatic,128644,Riyadh,118000,False,America
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,19190,Jeddah,55000,False,Japan
Isuzu,Dyna,2003,Saudi,White,Standard,8.5,Diesel,Manual,330,Riyadh,40000,False,Japan
Toyota,Land Cruiser,2016,Gulf Arabic,Black,Full,5.7,Gas,Automatic,122000,Dammam,200000,False,Japan
Toyota,Innova,2017,Saudi,Black,Full,2.7,Gas,Automatic,247000,Jeddah,55000,False,Japan
GMC,Yukon,2018,Saudi,Grey,Standard,5.3,Gas,Automatic,92736,Riyadh,146500,False,America
Hyundai,Azera,2013,Saudi,Grey,Full,3.0,Gas,Automatic,284000,Riyadh,32000,False,South Korea
Lexus,LS,2010,Other,White,Semi Full,1.8,Gas,Automatic,120000,Taef,77000,False,Japan
Dodge,Charger,2019,Saudi,Blue,Semi Full,3.6,Gas,Automatic,70910,Riyadh,116500,False,America
Ford,Expedition,2015,Saudi,White,Standard,3.5,Gas,Automatic,110790,Riyadh,77000,False,America
Toyota,Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,90084,Riyadh,50000,False,Japan
Hyundai,H1,2018,Saudi,Silver,Standard,2.4,Gas,Automatic,106336,Riyadh,58500,False,South Korea
Toyota,Hilux,2016,Gulf Arabic,White,Standard,2.7,Gas,Manual,182774,Dammam,62000,False,Japan
Toyota,Camry,2016,Saudi,White,Full,1.0,Gas,Automatic,244000,Riyadh,59000,False,Japan
