,index,Unnamed: 0,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
0,0,6153,Toyota,Camry,2020,Saudi,Brown,Semi Full,2.5,Gas,Automatic,38000,Riyadh,1364,False
1,1,4434,Toyota,FJ,2012,Saudi,Black,Full,4.0,Gas,Automatic,35000,Riyadh,70000,False
2,2,3537,Chevrolet,Suburban,2009,Saudi,White,Standard,5.3,Gas,Automatic,255,Riyadh,36000,False
3,3,1666,Ford,Explorer,2016,Other,White,Full,3.5,Gas,Automatic,128644,Riyadh,118000,False
4,4,3513,Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,19190,Jeddah,55000,False
5,5,7821,Isuzu,Dyna,2003,Saudi,White,Standard,8.5,Diesel,Manual,330,Riyadh,40000,False
6,7,2931,Toyota,Land Cruiser,2016,Gulf Arabic,Black,Full,5.7,Gas,Automatic,122000,Dammam,200000,False
7,10,1023,Toyota,Innova,2017,Saudi,Black,Full,2.7,Gas,Automatic,247000,Jeddah,55000,False
8,13,2852,GMC,Yukon,2018,Saudi,Grey,Standard,5.3,Gas,Automatic,92736,Riyadh,146500,False
9,15,6181,Hyundai,Azera,2013,Saudi,Grey,Full,3.0,Gas,Automatic,284000,Riyadh,32000,False
10,17,1625,Lexus,LS,2010,Other,White,Semi Full,1.8,Gas,Automatic,120000,Taef,77000,False
11,18,2588,Dodge,Charger,2019,Saudi,Blue,Semi Full,3.6,Gas,Automatic,70910,Riyadh,116500,False
12,19,2166,Ford,Expedition,2015,Saudi,White,Standard,3.5,Gas,Automatic,110790,Riyadh,77000,False
13,20,1187,Toyota,Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,90084,Riyadh,50000,False
14,21,6960,BMW,The 7,2019,Saudi,Black,Full,2.5,Gas,Automatic,41000,Jeddah,235000,False
15,24,1483,Hyundai,H1,2018,Saudi,Silver,Standard,2.4,Gas,Automatic,106336,Riyadh,58500,False
16,25,2309,Toyota,Hilux,2016,Gulf Arabic,White,Standard,2.7,Gas,Manual,182774,Dammam,62000,False
17,28,137,Toyota,Camry,2016,Saudi,White,Full,1.0,Gas,Automatic,244000,Riyadh,59000,False
18,31,4945,Kia,Cerato,2016,Saudi,Grey,Standard,1.6,Gas,Automatic,115000,Riyadh,28000,False
19,32,5010,Changan,Eado,2020,Saudi,Red,Full,1.6,Gas,Automatic,9061,Dammam,50000,False
20,33,57,Nissan,Patrol,2012,Saudi,White,Semi Full,5.6,Gas,Automatic,381000,Riyadh,75000,False
21,34,6943,Nissan,Armada,2010,Saudi,Silver,Full,5.6,Gas,Automatic,133809,Dammam,60000,False
22,35,6956,Toyota,Camry,2014,Saudi,White,Standard,2.5,Gas,Automatic,542966,Wadi Dawasir,22000,False
23,36,4436,Ford,Expedition,2009,Saudi,Grey,Standard,5.4,Gas,Automatic,318500,Riyadh,24500,False
24,37,1372,Chevrolet,Malibu,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,176000,Dammam,49000,False
25,38,6824,Volkswagen,Tiguan,2012,Unknown,Navy,Full,2.0,Gas,Automatic,170000,Jeddah,21000,False
26,39,7997,Genesis,G80,2017,Saudi,White,Full,3.8,Gas,Automatic,158000,Qassim,95000,False
27,41,3064,Chevrolet,Tahoe,2013,Saudi,Silver,Standard,5.3,Gas,Automatic,300000,Jeddah,48000,False
28,42,161,Nissan,Datsun,2015,Saudi,White,Semi Full,2.0,Gas,Manual,182000,Dammam,29000,False
29,44,5202,Nissan,Datsun,2015,Saudi,White,Full,2.4,Gas,Manual,28000,Aseer,48000,False
30,48,1022,Mercedes,G,2021,Gulf Arabic,Black,Full,5.0,Gas,Automatic,5000,Riyadh,1150000,False
31,50,1672,Hyundai,Sonata,2019,Saudi,Grey,Standard,2.4,Gas,Automatic,113057,Riyadh,62500,False
32,52,5902,Hyundai,Accent,2019,Saudi,Blue,Semi Full,1.4,Gas,Automatic,89000,Tabouk,39000,False
33,55,2174,Lexus,ES,2016,Gulf Arabic,White,Full,3.5,Gas,Automatic,86000,Jeddah,125000,False
34,56,6369,Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,65000,Riyadh,30000,False
35,57,1208,Kia,Optima,2006,Other,White,Standard,1.3,Gas,Manual,290000,Taef,6000,False
36,58,6131,Toyota,Corolla,2015,Saudi,Silver,Semi Full,1.6,Gas,Automatic,200000,Jeddah,35000,False
37,59,3728,INFINITI,FX,2007,Gulf Arabic,Brown,Full,5.3,Gas,Automatic,170,Jazan,25000,False
38,60,3814,BMW,The 6,2013,Saudi,Black,Full,3.0,Gas,Automatic,108000,Dammam,120000,False
39,63,2158,Toyota,Hilux,2016,Gulf Arabic,White,Full,2.7,Gas,Manual,106000,Khobar,73000,False
40,66,5806,Ford,F150,2016,Gulf Arabic,White,Semi Full,5.0,Gas,Automatic,115000,Qassim,93000,False
41,68,7743,Hyundai,Elantra,2016,Other,Silver,Full,1.6,Diesel,Automatic,87000,Al-Medina,42000,False
42,69,960,Dodge,Durango,2014,Saudi,White,Standard,5.7,Gas,Automatic,170000,Jeddah,44000,False
43,71,5264,Chevrolet,Aveo,2008,Saudi,Blue,Semi Full,1.6,Gas,Manual,30000,Jeddah,4500,False
44,73,4083,Mercedes,S,2011,Saudi,White,Full,3.8,Gas,Automatic,203000,Al-Medina,98000,False
45,74,476,GMC,Sierra,2011,Saudi,White,Standard,5.3,Gas,Automatic,231000,Riyadh,45000,False
46,75,1399,Lincoln,Navigator,2016,Saudi,Brown,Full,3.7,Gas,Automatic,79000,Dammam,115000,False
47,76,5500,Ford,Expedition,2016,Saudi,White,Semi Full,5.4,Gas,Automatic,98000,Riyadh,72000,False
48,77,1725,Chevrolet,Impala,2015,Other,Silver,Full,3.6,Gas,Automatic,169000,Al-Ahsa,72000,False
49,78,3977,Toyota,Furniture,2015,Saudi,White,Full,2.7,Gas,Automatic,209,Riyadh,72000,False
50,79,2336,Toyota,Hilux,2020,Saudi,White,Full,2.4,Diesel,Manual,24000,Riyadh,120000,False
51,80,4590,Toyota,FJ,2014,Saudi,Another Color,Semi Full,4.0,Gas,Automatic,199000,Dammam,95000,False
52,81,4085,Mercedes,S,2011,Gulf Arabic,White,Full,3.8,Gas,Automatic,132000,Al-Medina,90000,False
53,82,6224,Hyundai,Accent,2016,Saudi,White,Standard,1.6,Gas,Automatic,214000,Riyadh,23500,False
54,83,688,Chevrolet,Caprice,2016,Saudi,White,Standard,6.0,Gas,Automatic,230000,Riyadh,75000,False
55,85,2515,Toyota,Ciocca,2016,Saudi,White,Semi Full,5.7,Gas,Automatic,390,Al-Medina,90000,False
